image,species,genus,continent,land_mass,subfamily,pollinator_referenced,pollinator
Acrotriche_cordata_Hislop.jpg,Acrotriche_cordata,Acrotriche,Australia,OW,Styphelioideae,insect,insect
Acrotriche_orbicularis_Hislop.jpg,Acrotriche_orbicularis,Acrotriche,Australia,OW,Styphelioideae,-,unknown
Acrotriche_serrulata_McConchi.jpg,Acrotriche_serrulata,Acrotriche,Australia,OW,Styphelioideae,insect,insect
Agapetes_acuminata_India.jpg,Agapetes_acuminata,Agapetes,Asia,OW,Vaccinioideae,-,unknown
Agapetes_arunachalensis_S0960428607004611a.jpg,Agapetes_arunachalensis,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_brachypoda_var._gracilis_Tropicos.jpg,Agapetes_brachypoda,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_brandisiana_Tropicos.jpg,Agapetes_brandisiana,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_burmanica_Tropicos.jpg,Agapetes_burmanica,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_buxifolia_plantillustrations.org.jpg,Agapetes_buxifolia,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_dalaienis_S0960428607004611a.jpg,Agapetes_dalaiensis,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_discolor_Tropicos.jpg,Agapetes_discolor,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_flava_nagensis_India.jpg,Agapetes_flava,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_graciliflora_Tropicos.jpg,Agapetes_graciliflora,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_hosseana_Watthana.jpg,Agapetes_hosseana,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_incurvata_Tropicos.jpg,Agapetes_incurvata,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_inopinata_Watthana.jpg,Agapetes_inopinata,Agapetes,Asia,OW,Vaccinioideae,-,unknown
Agapetes_interdicta_Tropicos.jpg,Agapetes_interdicta,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_listeri_Tropicos.jpg,Agapetes_listeri,Agapetes,Asia,OW,Vaccinioideae,-,unknown
Agapetes_megacarpa_lohitensis_India.jpg,Agapetes_megacarpa,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_miranda_Tropicos.jpg,Agapetes_miranda,Agapetes,Asia,OW,Vaccinioideae,-,unknown
Agapetes_obovata_Tropicos.jpg,Agapetes_obovata,Agapetes,Asia,OW,Vaccinioideae,-,unknown
Agapetes_odontocera_mizoramensis_India.jpg,Agapetes_odontocera,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_pensilis_Tropicos.jpg,Agapetes_pensilis,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_pseudogriffithii_MO.jpg,Agapetes_pseudogriffithii,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_salicifolia_glanduliflora_India.jpg,Agapetes_salicifolia,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_saligna_plantill.jpg,Agapetes_saligna,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_serpens_plantillustrations.org.jpg,Agapetes_serpens,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_siangensis_S0960428607004611a.jpg,Agapetes_siangensis,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_subsessilifolia_Suhua_New_Agapetes.jpg,Agapetes_subsessilifolia,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_thailandica_Wathana_Agapetes.jpg,Agapetes_thailandica,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agapetes_variegata_Watthana.jpg,Agapetes_variegata,Agapetes,Asia,OW,Vaccinioideae,-,bird
Agarista_albiflora_NYBG.jpg,Agarista_albiflora,Agarista,South_America,NW,Vaccinioideae,-,unknown
Agarista_boliviensis_MO.jpg,Agarista_boliviensis,Agarista,South_America,NW,Vaccinioideae,-,unknown
Agarista_hispidula_Freitas.jpg,Agarista_hispidula,Agarista,South_America,NW,Vaccinioideae,hummingbird,bird
Agarista_mexicana_var._pinetorum_MO.jpg,Agarista_mexicana,Agarista,North_America,NW,Vaccinioideae,-,unknown
Agarista_oleifolia_Freitas.jpg,Agarista_oleifolia,Agarista,South_America,NW,Vaccinioideae,-,unknown
Agarista_populifolia_Judd.jpg,Agarista_populifolia,Agarista,North_America,NW,Vaccinioideae,insect,insect
Agarista_populifolia_MO.jpg,Agarista_populifolia,Agarista,North_America,NW,Vaccinioideae,insect,insect
Agarista_salicifolia_MO.jpg,Agarista_salicifolia,Agarista,Africa,OW,Vaccinioideae,insect,insect
Agarista_sleumeri_Luteyn_Ericaceae_47.jpg,Agarista_sleumeri,Agarista,South_America,NW,Vaccinioideae,insect,insect
Agarista_villarrealana_1035_001.jpg,Agarista_villarrealana,Agarista,South_America,NW,Vaccinioideae,-,unknown
Agauria_polyphylla_MO.jpg,Agauria_polyphylla,Agauria,Africa,OW,Vaccinioideae,-,unknown
Andersonia_annelsii_Lemson.jpg,Andersonia_annelsii,Andersonia,Australia,OW,Styphelioideae,-,unknown
Andersonia_brevifolia_Watson.jpg,Andersonia_brevifolia,Andersonia,Australia,OW,Styphelioideae,-,unknown
Andersonia_carinata_Watson.jpg,Andersonia_carinata,Andersonia,Australia,OW,Styphelioideae,-,unknown
Andersonia_ferricola_Lemson.jpg,Andersonia_ferricola,Andersonia,Australia,OW,Styphelioideae,-,unknown
Andersonia_geniculata_Lemson.jpg,Andersonia_geniculata,Andersonia,Australia,OW,Styphelioideae,-,unknown
Andersonia_gracilis_Watson.jpg,Andersonia_gracilis,Andersonia,Australia,OW,Styphelioideae,-,unknown
Andersonia_hamersleyana_Lemson.jpg,Andersonia_hammersleyana,Andersonia,Australia,OW,Styphelioideae,-,unknown
Andersonia_heterophylla_Watson.jpg,Andersonia_heterophylla,Andersonia,Australia,OW,Styphelioideae,insect,insect
Andersonia_involucrata_Watson.jpg,Andersonia_involucrata,Andersonia,Australia,OW,Styphelioideae,-,unknown
Andersonia_lehmanniana_Watson.jpg,Andersonia_lehmanniana,Andersonia,Australia,OW,Styphelioideae,-,unknown
Andersonia_macranthera_watson.jpg,Andersonia_macranthera,Andersonia,Australia,OW,Styphelioideae,-,unknown
Andersonia_micrantha_Watson.jpg,Andersonia_micrantha,Andersonia,Australia,OW,Styphelioideae,insect,insect
Andersonia_pinaster_Lemson.jpg,Andersonia_pinaster,Andersonia,Australia,OW,Styphelioideae,-,unknown
Andersonia_redolens_Lemson.jpg,Andersonia_redolens,Andersonia,Australia,OW,Styphelioideae,-,unknown
Andersonia_setifolia_Watson.jpg,Andersonia_setifolia,Andersonia,Australia,OW,Styphelioideae,honeyeater,bird
Andersonia_simplex_Watson.jpg,Andersonia_simplex,Andersonia,Australia,OW,Styphelioideae,-,unknown
Andersonia_sprengelioides_Watson.jpg,Andersonia_sprengelioides,Andersonia,Australia,OW,Styphelioideae,insect,insect
Andromeda_polifolia_FNA8_P60_Agarista-Lyonia-Andromeda.jpg,Andromeda_polifolia,Andromeda,Europe,OW,Vaccinioideae,insect,insect
Andromeda_polifolia_Gleason_E_NAM.jpg,Andromeda_polifolia,Andromeda,Europe,OW,Vaccinioideae,insect,insect
Andromeda_polifolia_Hitchcock_PNW.jpg,Andromeda_polifolia,Andromeda,Europe,OW,Vaccinioideae,insect,insect
Androstoma_empetrifolia_Hooker.jpg,Androstoma_empetrifolia,Androstoma,Australia,OW,Styphelioideae,-,unknown
Anthopteropsis_insignis_Tropicos.jpg,Anthopteropsis_insignis,Anthopteropsis,South_America,NW,Vaccinioideae,hummingbird,bird
Anthopterus_oliganthus_NYBG.jpg,Anthopterus_oliganthus,Anthopterus,South_America,NW,Vaccinioideae,hummingbird,bird
Anthopterus_revolutus_Luteyn_NYBG.jpg,Anthopterus_revolutus,Anthopterus,South_America,NW,Vaccinioideae,hummingbird,bird
Anthopterus_schultzeae_Luteyn _14575_NYBG.jpg,Anthopterus_schultzeae,Anthopterus,South_America,NW,Vaccinioideae,hummingbird,bird
Anthopterus_verticillatus_NYBG.jpg,Anthopterus_verticillatus,Anthopterus,South_America,NW,Vaccinioideae,hummingbird,bird
Anthopterus_wardii_conservatory_NYBG_RKriebel_5.jpg,Anthopterus_wardii,Anthopterus,South_America,NW,Vaccinioideae,hummingbird,bird
Arbutus_arizonica_Luteyn_Ericaceae_26.jpg,Arbutus_arizonica,Arbutus,North_America,NW,Arbutoideae,insect,insect
Arbutus_arizonica_Sargent.jpg,Arbutus_arizonica,Arbutus,North_America,NW,Arbutoideae,insect,insect
Arbutus_menziesii_FNA8_P46.jpg,Arbutus_menziesii,Arbutus,North_America,NW,Arbutoideae,insect,insect
Arbutus_occidentalis_1035_001.jpg,Arbutus_occidentalis,Arbutus,South_America,NW,Arbutoideae,insect,insect
Arbutus_occidentalis_Luteyn_Ericaceae_27.jpg,Arbutus_occidentalis,Arbutus,South_America,NW,Arbutoideae,insect,insect
Arbutus_tessellata_Sorensen_New_arbutus.jpg,Arbutus_tessellata,Arbutus,South_America,NW,Arbutoideae,insect,insect
Arbutus_xalapensis_1035_001.jpg,Arbutus_xalapensis,Arbutus,South_America,NW,Arbutoideae,insect,insect
Archeria_combrei_Melville.jpg,Archeria_combrei,Archeria,Australia,OW,Styphelioideae,insect,insect
Archeria_hirtella_Hooker.jpg,Archeria_hirtella,Archeria,Australia,OW,Styphelioideae,insect,insect
Arctostaphylos_alpina_Gleason_E_NAM.jpg,Arctostaphylos_alpina,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_andersonii_Jepson_eflora,Arctostaphylos_andersonii,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_auriculata_Jepson_eflora,Arctostaphylos_auriculata,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_bakeri_Jepson_eflora_John_Game.jpg,Arctostaphylos_bakeri,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_canescens_Jepson_eflora_John_Game.jpg,Arctostaphylos_canescens,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_catalinae_Jepson_eflora_Steve_Matson.jpg,Arctostaphylos_catalinae,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_columbiana_Jepson_eflora_CAS.jpg,Arctostaphylos_columbiana,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_crustacea_Jepson_eflora_Neal_Kramer.jpg,Arctostaphylos_crustacea,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_cruzensis_Jepson_eflora.jpg,Arctostaphylos_cruzensis,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_densiflora_Jepson_eflora.jpg,Arctostaphylos_densiflora,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_edmundsii_Jepson_eflora_Steve_Matson.jpg,Arctostaphylos_edmundsii,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_franciscana_Jepson_eflora_Neal_Kramer.jpg,Arctostaphylos_franciscana,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_glauca_Jepson_eflora_Barry_Breckling.jpg,Arctostaphylos_glauca,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_glutinosa_Jepson_eflora_Neal_Kramer.jpg,Arctostaphylos_glutinosa,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_hispidula_Jepson_eflora_Steve_Matson.jpg,Arctostaphylos_hispidula,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_hookeri_Jepson_eflora_Steve_Matson.jpg,Arctostaphylos_hookeri,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_klamathensis_Jepson_eflora.jpg,Arctostaphylos_klamathensis,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_manzanita_Jepson_eflora_CAS.jpg,Arctostaphylos_manzanita,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_montaraensis_Jepson_eflora_Neal_Kramer.jpg,Arctostaphylos_montaraensis,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_morroensis_Jepson_eflora_Steve_Matson.jpg,Arctostaphylos_morroensis,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_myrtifolia_Jepson_eflora.jpg,Arctostaphylos_myrtifolia,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_nevadensis_Jepson_eflora.jpg,Arctostaphylos_nevadensis,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_nummularia_Jepson_eflora_Steve_Matson.jpg,Arctostaphylos_nummularia,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_obispoensis_Jepson_eflora_Dieter_Wilken.jpg,Arctostaphylos_obispoensis,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_ohloneana_Jepson_eflora_Neal_Kramer.jpg,Arctostaphylos_ohloneana,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_ohloneana_Vasey.jpg,Arctostaphylos_ohloneana,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_otayensis_Jepson_eflora.jpg,Arctostaphylos_otayensis,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_pajaroensis_Jepson_eflora_Thomas_Stoughton.jpg,Arctostaphylos_pajaroensis,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_pallida_Jepson_eflora_Steve_Matson.jpg,Arctostaphylos_pallida,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_patula_Jepson_eflora_CAS.jpg,Arctostaphylos_patula,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_pilosula_Jepson_eflora.jpg,Arctostaphylos_pilosula,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_pungens_Luteyn_Ericaceae_17.jpg,Arctostaphylos_pungens,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_purisima_Jepson_eflora_Steve_Matson.jpg,Arctostaphylos_purisima,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_regismontana_Jepson_eflora_Neal_Kramer.jpg,Arctostaphylos_regismontana,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_rudis_Jepson_eflora_John_Game.jpg,Arctostaphylos_rudis,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_sensitiva_FNA8_P49.jpg,Arctostaphylos_sensitiva,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_stanfordiana_Jepson_eflora.jpg,Arctostaphylos_stanfordiana,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_tomentosa_Jepson_eflora_Thomas_Stoughton.jpg,Arctostaphylos_tomentosa,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_uva-ursi_Gleason_E_NAM.jpg,Arctostaphylos_uva-ursi,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_uva-ursi_Hitchcock_PNW.jpg,Arctostaphylos_uva-ursi,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_uva-ursi_MO.jpg,Arctostaphylos_uva-ursi,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_virgata_Jepson_eflora_Neal_Kramer.jpg,Arctostaphylos_virgata,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctostaphylos_viscida_Jepson_eflora_Barry_Breckling.jpg,Arctostaphylos_viscida,Arctostaphylos,North_America,NW,Arbutoideae,insect,insect
Arctous_alpina_FNA8_P48.jpg,Arctous_alpina,Arctous,Europe,OW,Arbutoideae,insect,insect
Arctous_ruber_Tropicos.jpg,Arctous_rubra,Arctous,Asia,OW,Arbutoideae,insect,insect
Astroloma_drummondii_FloraBase_Australia.jpg,Astroloma_drummondii,Astroloma,Australia,OW,Styphelioideae,honeyeater,bird
Astroloma_epacridis_FloraBase_Australia.jpg,Astroloma_epacridis,Astroloma,Australia,OW,Styphelioideae,honeyeater,bird
Astroloma_foliosum_KEIGHERY_Western_Australi.jpg,Astroloma_foliosum,Astroloma,Australia,OW,Styphelioideae,honeyeater,bird
Astroloma_humifusum_Powell.jpg,Astroloma_foliosum,Astroloma,Australia,OW,Styphelioideae,honeyeater,bird
Astroloma_inopinatum_Hislop_New_Astroloma.jpg,Astroloma_inopinatum,Astroloma,Australia,OW,Styphelioideae,-,unknown
Astroloma_macrocalyx_KEIGHERY_Western_Australi.jpg,Astroloma_macrocalyx,Astroloma,Australia,OW,Styphelioideae,honeyeater,bird
Astroloma_pallidum_FloraBase_Australia.jpg,Astroloma_pallidum,Astroloma,Australia,OW,Styphelioideae,honeyeater,bird
Astroloma_pinifolium_Wikipedia.jpg,Astroloma_pinifolium,Astroloma,Australia,OW,Styphelioideae,-,unknown
Astroloma_prostratum_KEIGHERY_Western_Australi.jpg,Astroloma_prostratum,Astroloma,Australia,OW,Styphelioideae,honeyeater,bird
Astroloma_stomarrhena_KEIGHERY_Western_Australi.jpg,Astroloma_stomarrhena,Astroloma,Australia,OW,Styphelioideae,-,unknown
Astroloma_xerophyllum_FloraBase_Australia.jpg,Astroloma_xerophyllum,Astroloma,Australia,OW,Styphelioideae,insect,insect
Blaeria_coccinia_Schumann_Erica.jpg,Blaeria_coccinia,Blaeria,Africa,OW,Ericoideae,-,unknown
Blaeria_dumosa_Schumann_Erica.jpg,Blaeria_dumosa,Blaeria,Africa,OW,Ericoideae,-,unknown
Brachyloma_daphnoides_Powell.jpg,Brachyloma_daphnoides,Brachyloma,Australia,OW,Styphelioideae,insect,insect
Brachyloma_debilis_Cranfield.jpg,Brachyloma_debilis,Brachyloma,Australia,OW,Styphelioideae,-,unknown
Brachyloma_mogin_Cranfield.jpg,Brachyloma_mogin,Brachyloma,Australia,OW,Styphelioideae,-,unknown
Brachyloma_nguba_Cranfield.jpg,Brachyloma_nguba,Brachyloma,Australia,OW,Styphelioideae,-,unknown
Brachyloma_scortechinii_Powell.jpg,Brachyloma_scortechinii,Brachyloma,Australia,OW,Styphelioideae,-,unknown
Brachyloma_stenolobum_Hislop.jpg,Brachyloma_stenolobum,Brachyloma,Australia,OW,Styphelioideae,-,unknown
Cassiope_lycopodioides_1035_001.jpg,Cassiope_lycopodioides,Cassiope,Asia,OW,Cassiopoideae,insect,insect
Cassiope_membranifolia_Rhui-cheng_Ericaceae_China.jpg,Cassiope_membranifolia,Cassiope,Asia,OW,Cassiopoideae,insect,insect
Cassiope_mertensiana_Hitchcock_PNW.jpg,Cassiope_mertensiana,Cassiope,North_America,NW,Cassiopoideae,insect,insect
Cassiope_myosuroides_Tropicos.jpg,Cassiope_myosuroides,Cassiope,Asia,OW,Cassiopoideae,insect,insect
Cassiope_pectinata_Tropicos.jpg,Cassiope_pectinata,Cassiope,Asia,OW,Cassiopoideae,insect,insect
Cassiope_selaginoides_Tropicos.jpg,Cassiope_selaginoides,Cassiope,Asia,OW,Cassiopoideae,insect,insect
Cassiope_tetragona_Hitchcock_PNW.jpg,Cassiope_tetragona,Cassiope,Europe,OW,Cassiopoideae,insect,insect
Cavendishia_aberrans_Luteyn_Ericaceae_2_5.jpg,Cavendishia_aberrans,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_adenophora_Luteyn_Ericaceae_2_27.jpg,Cavendishia_adenophora,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_albopicata_Luten_New_Ericaceae_4.jpg,Cavendishia_albopicata,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_allenii_RK_NYBG.jpg,Cavendishia_allenii,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_antioquiensis_Luten_Sylva_New_Ericaceae.jpg,Cavendishia_antioquiensis,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_atroviolacea_Luteyn3804.jpg,Cavendishia_atroviolacea,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_aurantiaca_Luten_New_Ericaceae_4.jpg,Cavendishia_aurantiaca,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_awa_Luteyn_NYBG.jpg,Cavendishia_awa,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_axillaris_Luteyn_Ericaceae_2_21.jpg,Cavendishia_axillaris,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_barnebyi_Luteyn_Ericaceae_2_4.jpg,Cavendishia_barnebyi,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_bracteata_Luteyn5586.jpg,Cavendishia_bracteata,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_callista_Luteyn3012.jpg,Cavendishia_callista,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_capitulata_Luteyn.jpg,Cavendishia_capitulata,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_chocoensis_NYBG.jpg,Cavendishia_chocoensis,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_davidsei_Luten_New_Ericaceae_8.jpg,Cavendishia_davidsei,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_dulcis_Luteyn_Ericaceae_2_8.jpg,Cavendishia_dulcis,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_endresii_Luteyn_Ericaceae_2_42.jpg,Cavendishia_endresii,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_erythrostegia_Luteyn_Ericaceae_2_29.jpg,Cavendishia_erythrostegia,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_foreroi_Luteyn_Ericaceae_2_6.jpg,Cavendishia_foreroi,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_grandifolia_Luteyn_Ericaceae_2_28.jpg,Cavendishia_grandifolia,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_grossa_Luteyn_Ericaceae_2_31.jpg,Cavendishia_grossa,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_guatapeensis_Luteyn_Ericaceae_2_9.jpg,Cavendishia_guatapeensis,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_isernii_isernii_NYBG.jpg,Cavendishia_isernii,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_isernii_Luteyn_Ericaceae_2_10.jpg,Cavendishia_isernii,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
Cavendishia_jardinensis_Luten_New_Ericaceae_11.jpg,Cavendishia_jardinensis,Cavendishia,South_America,NW,Vaccinioideae,hummingbird,bird
