species,corolla_tube_length,total_large_anther_length,PC1_corolla,PC2_corolla,PC1_anther,PC2_anther
Acrothamnus_spathaceus,,,0.075845606,-0.069083293,,
Acrotriche_aggregata,1.011600912,,,,,
Acrotriche_cordata,0.587786665,-0.820980552,-0.137733553,-0.000533677,0.063392452,5.62E-05
Acrotriche_divaricata,0.470003629,,,,,
Acrotriche_lancifolia,1.16315081,-0.430782916,,,,
Acrotriche_orbicularis,,,0.060876402,-0.026971102,0.068516432,0.081768115
Acrotriche_patula,1.16315081,-0.430782916,,,,
Acrotriche_rigida,1.098612289,,,,,
Acrotriche_serrulata,1.098612289,-0.891598119,-0.096490928,0.061567803,0.150585233,-0.021329125
Agapetes_acuminata,1.32175584,0.875468737,0.136561489,0.081873399,,
Agapetes_adenobotrys,3.044522438,,,,,
Agapetes_arunachalensis,3.135494216,3.079613758,-0.158318323,0.007507837,-0.339466044,0.018097087
Agapetes_brachypoda,2.803360381,,-0.139427871,0.022975458,,
Agapetes_brandisiana,3.17805383,3.218875825,-0.18890334,0.006386189,,
Agapetes_burmanica,3.96081317,3.839452313,-0.183071738,0.011678837,-0.338354883,0.035881946
Agapetes_buxifolia,3.218875825,2.890371758,-0.136085247,0.021351406,-0.339133898,0.031695049
Agapetes_dalaienis,3.277144733,3.157000421,,,-0.333244575,-0.006550156
Agapetes_dalaiensis,,,-0.129771254,0.026037937,,
Agapetes_discolor,3.091042453,2.302585093,-0.117963325,0.00495774,,
Agapetes_flava,2.890371758,2.756840365,-0.149629528,0.015369603,-0.314291638,0.011518408
Agapetes_graciliflora,2.48490665,1.704748092,-0.266492556,-0.035343045,,
Agapetes_hosseana,2.944438979,1.909542505,-0.143690557,0.029336224,,
Agapetes_hyalocheilos,2.995732274,,,,,
Agapetes_incurvata,2.944438979,2.772588722,-0.193369543,-0.019620026,-0.326578404,0.032811784
Agapetes_inopinata,,,0.013689296,0.040570298,,
Agapetes_interdicta,3.33220451,3.295836866,-0.093480103,-0.003467896,,
Agapetes_linearifolia,2.602689685,2.251291799,,,,
Agapetes_listeri,,,0.010828789,0.034456003,-0.287751543,0.042593882
Agapetes_megacarpa,4.007333185,3.860729711,-0.196236613,-0.010335169,-0.333201174,0.026089387
Agapetes_miranda,2.014903021,,0.189200956,0.092523194,-0.166807864,-0.072702019
Agapetes_obovata,1.871802177,1.504077397,-0.008642944,0.055196992,-0.254465361,0.01609815
Agapetes_odontocera,3.277144733,2.995732274,-0.146913172,0.000940588,,
Agapetes_pensilis,2.833213344,,-0.160617266,0.021143665,-0.199746258,0.027562934
Agapetes_pseudogriffithii,3.258096538,,-0.092067602,0.040534588,,
Agapetes_pubiflora,3.33220451,3.401197382,,,,
Agapetes_salicifolia,2.862200881,2.724579503,-0.170110159,-0.00217277,,
Agapetes_scortechinii,3.258096538,2.351375257,,,,
Agapetes_serpens,2.995732274,2.939161922,-0.100629308,0.02869464,-0.257645685,0.018400276
Agapetes_siangensis,2.525728644,2.327277706,-0.203727391,0.012951587,-0.320824413,0.037096923
Agapetes_sikkimensis,2.803360381,2.677590994,,,,
Agapetes_spissa,2.302585093,,,,,
Agapetes_subsessilifolia,3.218875825,3.091042453,-0.203710727,-0.016762382,-0.325226171,0.04554062
Agapetes_thailandica,3.113515309,2.197224577,-0.200473534,-0.013747588,-0.268870732,-0.000652767
Agapetes_variegata,,,-0.147843181,0.025140682,,
Agarista_albiflora,1.871802177,0.223143551,-0.13952965,0.048219852,0.030707304,0.000565097
Agarista_boliviensis,,,-0.010955697,0.107422295,,
Agarista_eucalyptoides,1.098612289,0.405465108,,,,
Agarista_hispidula,2.140066163,0.223143551,-0.054856926,0.09378052,-0.029367612,0.134924096
Agarista_mexicana,,,-0.064341562,0.091752028,,
Agarista_oleifolia,2.463853241,0.470003629,-0.063062189,0.079841161,0.052883076,0.041203913
Agarista_populifolia,2.047692843,0.223143551,0.017176429,0.073537303,0.092604941,0.07222393
Agarista_salicifolia,,,0.015831211,0.07939231,,
Agarista_sleumeri,2.374905755,0.405465108,-0.057358064,0.058187897,0.149548596,0.056621098
Agarista_uleana,,0,,,,
Agarista_villarrealana,2.140066163,0.559615788,-0.063013339,0.083684983,,
Agauria_polyphylla,,,0.00953732,0.073892131,,
Allotropa_virgata,-6.907755279,,,,0.165489209,0.020397528
Andersonia_annelsii,2.006870849,1.252762968,-0.229207889,0.002661523,,
Andersonia_brevifolia,1.609437912,,-0.082933025,0.034090384,-0.213460952,-0.023585022
Andersonia_carinata,,0.405465108,-0.0744379,0.023203135,,
Andersonia_ferricola,2.128231706,0.810930216,-0.170719558,0.014660393,-0.19715241,-0.059613784
Andersonia_geniculata,2.197224577,0.832909123,0.009607995,0.008242197,-0.251136341,-0.069543284
Andersonia_gracilis,2.079441542,,0.07577431,-0.088713791,-0.17321104,-0.018000345
Andersonia_hamersleyana,2.63905733,0.693147181,,,-0.105885145,0.047166317
Andersonia_hammersleyana,,,-0.260154557,-0.010868008,,
Andersonia_heterophylla,1.609437912,,-0.228041363,0.002973056,,
Andersonia_involucrata,,,-0.186736033,0.017384134,-0.250106468,0.032069089
Andersonia_lehmanniana,,,-0.13467796,0.032626741,,
Andersonia_macranthera,1.223775432,0.631271777,-0.110080181,0.023451592,,
Andersonia_micrantha,1.609437912,,-0.003336404,0.050916656,,
Andersonia_pinaster,2.463853241,0.500775288,-0.17917311,0.032991267,-0.194606224,-0.049667583
Andersonia_redolens,2.174751721,0.993251773,-0.14210779,0.034642711,-0.191036969,0.035753587
Andersonia_setifolia,,0.405465108,0.012911056,-0.035204346,-0.077406854,-0.04725747
Andersonia_simplex,1.386294361,0,0.004682409,0.041458841,,
Andersonia_sprengelioides,1.217875709,0.207014169,-0.078720015,0.034601357,,
Andromeda_polifolia,1.871802177,0.231111721,0.109934425,0.088560113,0.130058894,0.032032697
Androstoma_empetrifolia,,,-0.010101466,-0.025923192,0.08993515,0.005128665
Anthopteropsis_insignis,,,-0.156756238,0.063149416,,
Anthopterus_oliganthus,1.91102289,1.528227857,0.178714191,0.064277308,-0.242715211,-0.060053534
Anthopterus_racemosus,2.708050201,,,,,
Anthopterus_revolutus,2.079441542,2.1102132,0.323460689,0.129454264,-0.305206775,-0.035618628
Anthopterus_schultzeae,,,0.189548814,0.10513229,,
Anthopterus_verticillatus,2.821973947,1.968509981,0.034334806,0.097205918,-0.219011035,0.029313631
Anthopterus_wardii,2.056684555,1.442201993,0.218862651,0.074299913,-0.232227951,-0.066389969
Arbutus_andrachne,1.504077397,,,,0.190763504,-0.00988122
Arbutus_arizonica,1.667706821,0.336472237,0.166446245,0.128486878,0.231771346,-0.002857712
Arbutus_menziesii,1.834180185,0.277631737,0.332559028,0.160036475,0.219113414,-0.005100257
Arbutus_occidentalis,1.62924054,0.405465108,0.155975034,0.086394175,0.183311041,-0.044150221
Arbutus_tessellata,1.824549292,0.336472237,0.169234695,0.143619847,0.239094071,-0.011347912
Arbutus_unedo,2.197224577,,,,0.198562585,-0.038316081
Arbutus_xalapensis,1.816452082,0.405465108,0.046412191,0.06100917,0.16578848,-0.020094584
Archeria_combrei,1.791759469,-0.385662481,-0.029044155,0.052834313,0.301540019,-0.012433509
Archeria_hirtella,,,0.006130363,0.066967932,0.099319625,0.061485461
Arctostaphylos_alpina,,,-0.008355696,0.075300588,,
Arctostaphylos_andersonii,1.642872689,,0.061598607,0.084634386,,
Arctostaphylos_auriculata,1.609437912,,0.064811064,0.099450823,,
Arctostaphylos_bakeri,,,0.174161141,0.118386485,,
Arctostaphylos_canescens,,,0.067670644,0.105462303,,
Arctostaphylos_catalinae,,,0.14969273,0.137104868,,
Arctostaphylos_columbiana,,,0.085171042,0.103224827,0.250188399,0.00420392
Arctostaphylos_crustacea,,,0.176136396,0.13599182,,
Arctostaphylos_cruzensis,1.297463147,,0.070157421,0.075129917,,
Arctostaphylos_densiflora,1.386294361,,0.125497156,0.092569424,,
Arctostaphylos_edmundsii,,,0.141234557,0.135395568,,
Arctostaphylos_franciscana,,,0.175765416,0.145602561,,
Arctostaphylos_gabilanensis,1.945910149,,,,,
Arctostaphylos_glauca,,,0.124046488,0.107092433,,
Arctostaphylos_glutinosa,,,0.112589645,0.132244178,,
Arctostaphylos_hispidula,,,0.072093742,0.098373215,,
Arctostaphylos_hookeri,,,0.12645075,0.128822824,,
Arctostaphylos_klamathensis,1.481604541,,0.100806834,0.106702503,,
Arctostaphylos_manzanita,,,0.152782759,0.118715671,,
Arctostaphylos_montaraensis,,,0.166199292,0.139863735,,
Arctostaphylos_morroensis,,,0.07014969,0.111893981,,
Arctostaphylos_myrtifolia,1.324418957,,0.157396106,0.110888305,,
Arctostaphylos_nevadensis,0.797507196,,0.101660702,0.100774424,,
Arctostaphylos_nummularia,,,0.216144207,0.121932138,,
Arctostaphylos_obispoensis,,,0.074304645,0.115827357,,
Arctostaphylos_ohloneana,,,0.165316456,0.128566201,,
Arctostaphylos_otayensis,1.479329227,,0.112566507,0.113825596,,
Arctostaphylos_pajaroensis,,,0.104573327,0.118496839,,
Arctostaphylos_pallida,,,0.038824427,0.086293079,,
Arctostaphylos_patula,,,-0.010551648,0.072027113,0.318152375,-0.04130842
Arctostaphylos_pilosula,1.808288771,,0.177443674,0.124894996,,
Arctostaphylos_pungens,1.832581464,0.262364264,0.156511391,0.103886771,0.425725843,-0.035284217
Arctostaphylos_rainbowensis,1.945910149,,,,,
Arctostaphylos_regismontana,,,0.036056269,0.109039483,,
Arctostaphylos_rudis,,,0.10417987,0.110138473,,
Arctostaphylos_sensitiva,1.619388243,,0.12641377,0.085995222,,
Arctostaphylos_stanfordiana,1.808288771,,0.095692159,0.104246528,,
Arctostaphylos_tomentosa,,,0.071947213,0.107032012,,
Arctostaphylos_uva-ursi,1.704748092,,0.123472417,0.103236132,0.182074696,-0.07664605
Arctostaphylos_virgata,,,0.082336789,0.111113691,,
Arctostaphylos_viscida,,,0.179219081,0.132970404,,
Arctous_alpina,1.504077397,,0.11927812,0.121832778,,
Arctous_alpinus,1.609437912,,,,,
